window_index,start_time,end_time,ue_ip,ground_truth_labels
0,2026-02-26T09:42:39Z,2026-02-26T09:42:44Z,10.0.0.1,audiocall
0,2026-02-26T09:42:39Z,2026-02-26T09:42:44Z,10.0.0.2,videocall
0,2026-02-26T09:42:39Z,2026-02-26T09:42:44Z,10.0.0.3,gaming-online
1,2026-02-26T09:42:44Z,2026-02-26T09:42:49Z,10.0.0.1,audiocall
1,2026-02-26T09:42:44Z,2026-02-26T09:42:49Z,10.0.0.2,idle
1,2026-02-26T09:42:44Z,2026-02-26T09:42:49Z,10.0.0.3,gaming-online
2,2026-02-26T09:42:49Z,2026-02-26T09:42:54Z,10.0.0.1,audiocall
2,2026-02-26T09:42:49Z,2026-02-26T09:42:54Z,10.0.0.2,idle
2,2026-02-26T09:42:49Z,2026-02-26T09:42:54Z,10.0.0.3,gaming-online
3,2026-02-26T09:42:54Z,2026-02-26T09:42:59Z,10.0.0.1,audiocall
3,2026-02-26T09:42:54Z,2026-02-26T09:42:59Z,10.0.0.2,idle
3,2026-02-26T09:42:54Z,2026-02-26T09:42:59Z,10.0.0.3,gaming-online
4,2026-02-26T09:42:59Z,2026-02-26T09:43:04Z,10.0.0.1,audiocall
4,2026-02-26T09:42:59Z,2026-02-26T09:43:04Z,10.0.0.2,idle
4,2026-02-26T09:42:59Z,2026-02-26T09:43:04Z,10.0.0.3,gaming-online
5,2026-02-26T09:43:04Z,2026-02-26T09:43:09Z,10.0.0.1,audiocall
5,2026-02-26T09:43:04Z,2026-02-26T09:43:09Z,10.0.0.2,idle
5,2026-02-26T09:43:04Z,2026-02-26T09:43:09Z,10.0.0.3,gaming-online
6,2026-02-26T09:43:09Z,2026-02-26T09:43:14Z,10.0.0.1,audiocall
6,2026-02-26T09:43:09Z,2026-02-26T09:43:14Z,10.0.0.2,idle
6,2026-02-26T09:43:09Z,2026-02-26T09:43:14Z,10.0.0.3,gaming-online
7,2026-02-26T09:43:14Z,2026-02-26T09:43:19Z,10.0.0.1,audiocall
7,2026-02-26T09:43:14Z,2026-02-26T09:43:19Z,10.0.0.2,idle
7,2026-02-26T09:43:14Z,2026-02-26T09:43:19Z,10.0.0.3,gaming-online
8,2026-02-26T09:43:19Z,2026-02-26T09:43:24Z,10.0.0.1,audiocall
8,2026-02-26T09:43:19Z,2026-02-26T09:43:24Z,10.0.0.2,idle
8,2026-02-26T09:43:19Z,2026-02-26T09:43:24Z,10.0.0.3,gaming-online
9,2026-02-26T09:43:24Z,2026-02-26T09:43:29Z,10.0.0.1,audiocall
9,2026-02-26T09:43:24Z,2026-02-26T09:43:29Z,10.0.0.2,idle
9,2026-02-26T09:43:24Z,2026-02-26T09:43:29Z,10.0.0.3,gaming-online
10,2026-02-26T09:43:29Z,2026-02-26T09:43:34Z,10.0.0.1,audiocall
10,2026-02-26T09:43:29Z,2026-02-26T09:43:34Z,10.0.0.2,idle
10,2026-02-26T09:43:29Z,2026-02-26T09:43:34Z,10.0.0.3,gaming-online
11,2026-02-26T09:43:34Z,2026-02-26T09:43:39Z,10.0.0.1,audiocall
11,2026-02-26T09:43:34Z,2026-02-26T09:43:39Z,10.0.0.2,idle
11,2026-02-26T09:43:34Z,2026-02-26T09:43:39Z,10.0.0.3,gaming-online
12,2026-02-26T09:43:39Z,2026-02-26T09:43:44Z,10.0.0.1,audiocall|directions|video-streaming
12,2026-02-26T09:43:39Z,2026-02-26T09:43:44Z,10.0.0.2,idle
12,2026-02-26T09:43:39Z,2026-02-26T09:43:44Z,10.0.0.3,gaming-online
13,2026-02-26T09:43:44Z,2026-02-26T09:43:49Z,10.0.0.1,directions|video-streaming
13,2026-02-26T09:43:44Z,2026-02-26T09:43:49Z,10.0.0.2,idle
13,2026-02-26T09:43:44Z,2026-02-26T09:43:49Z,10.0.0.3,gaming-online
14,2026-02-26T09:43:49Z,2026-02-26T09:43:54Z,10.0.0.1,video-streaming
14,2026-02-26T09:43:49Z,2026-02-26T09:43:54Z,10.0.0.2,idle
14,2026-02-26T09:43:49Z,2026-02-26T09:43:54Z,10.0.0.3,gaming-online
15,2026-02-26T09:43:54Z,2026-02-26T09:43:59Z,10.0.0.1,directions|video-streaming
15,2026-02-26T09:43:54Z,2026-02-26T09:43:59Z,10.0.0.2,idle
15,2026-02-26T09:43:54Z,2026-02-26T09:43:59Z,10.0.0.3,gaming-online
16,2026-02-26T09:43:59Z,2026-02-26T09:44:04Z,10.0.0.1,directions
16,2026-02-26T09:43:59Z,2026-02-26T09:44:04Z,10.0.0.2,open-email|video-streaming
16,2026-02-26T09:43:59Z,2026-02-26T09:44:04Z,10.0.0.3,gaming-online
17,2026-02-26T09:44:04Z,2026-02-26T09:44:09Z,10.0.0.1,directions
17,2026-02-26T09:44:04Z,2026-02-26T09:44:09Z,10.0.0.2,open-email|video-streaming
17,2026-02-26T09:44:04Z,2026-02-26T09:44:09Z,10.0.0.3,gaming-online
18,2026-02-26T09:44:09Z,2026-02-26T09:44:14Z,10.0.0.1,directions
18,2026-02-26T09:44:09Z,2026-02-26T09:44:14Z,10.0.0.2,open-email|video-streaming
18,2026-02-26T09:44:09Z,2026-02-26T09:44:14Z,10.0.0.3,gaming-online|social-post|videocall
19,2026-02-26T09:44:14Z,2026-02-26T09:44:19Z,10.0.0.1,directions
19,2026-02-26T09:44:14Z,2026-02-26T09:44:19Z,10.0.0.2,open-email
19,2026-02-26T09:44:14Z,2026-02-26T09:44:19Z,10.0.0.3,social-post|videocall
20,2026-02-26T09:44:19Z,2026-02-26T09:44:24Z,10.0.0.1,directions
20,2026-02-26T09:44:19Z,2026-02-26T09:44:24Z,10.0.0.2,open-email|video-streaming
20,2026-02-26T09:44:19Z,2026-02-26T09:44:24Z,10.0.0.3,social-post|videocall
21,2026-02-26T09:44:24Z,2026-02-26T09:44:29Z,10.0.0.1,directions
21,2026-02-26T09:44:24Z,2026-02-26T09:44:29Z,10.0.0.2,open-email|video-streaming
21,2026-02-26T09:44:24Z,2026-02-26T09:44:29Z,10.0.0.3,social-post|videocall
22,2026-02-26T09:44:29Z,2026-02-26T09:44:34Z,10.0.0.1,directions
22,2026-02-26T09:44:29Z,2026-02-26T09:44:34Z,10.0.0.2,open-email
22,2026-02-26T09:44:29Z,2026-02-26T09:44:34Z,10.0.0.3,social-post|videocall
23,2026-02-26T09:44:34Z,2026-02-26T09:44:39Z,10.0.0.1,directions
23,2026-02-26T09:44:34Z,2026-02-26T09:44:39Z,10.0.0.2,open-email
23,2026-02-26T09:44:34Z,2026-02-26T09:44:39Z,10.0.0.3,social-post|videocall
24,2026-02-26T09:44:39Z,2026-02-26T09:44:44Z,10.0.0.1,directions
