window_index,start_time,end_time,ue_ip,ground_truth_labels
0,2026-02-26T09:42:39Z,2026-02-26T09:42:44Z,10.0.0.1,video-streaming
0,2026-02-26T09:42:39Z,2026-02-26T09:42:44Z,10.0.0.2,video-streaming
0,2026-02-26T09:42:39Z,2026-02-26T09:42:44Z,10.0.0.3,videocall
1,2026-02-26T09:42:44Z,2026-02-26T09:42:49Z,10.0.0.1,idle
1,2026-02-26T09:42:44Z,2026-02-26T09:42:49Z,10.0.0.2,idle
1,2026-02-26T09:42:44Z,2026-02-26T09:42:49Z,10.0.0.3,videocall
2,2026-02-26T09:42:49Z,2026-02-26T09:42:54Z,10.0.0.1,video-streaming
2,2026-02-26T09:42:49Z,2026-02-26T09:42:54Z,10.0.0.2,idle
2,2026-02-26T09:42:49Z,2026-02-26T09:42:54Z,10.0.0.3,videocall
3,2026-02-26T09:42:54Z,2026-02-26T09:42:59Z,10.0.0.1,video-streaming
3,2026-02-26T09:42:54Z,2026-02-26T09:42:59Z,10.0.0.2,idle
3,2026-02-26T09:42:54Z,2026-02-26T09:42:59Z,10.0.0.3,videocall
4,2026-02-26T09:42:59Z,2026-02-26T09:43:04Z,10.0.0.1,video-streaming
4,2026-02-26T09:42:59Z,2026-02-26T09:43:04Z,10.0.0.2,idle
4,2026-02-26T09:42:59Z,2026-02-26T09:43:04Z,10.0.0.3,videocall
5,2026-02-26T09:43:04Z,2026-02-26T09:43:09Z,10.0.0.1,idle
5,2026-02-26T09:43:04Z,2026-02-26T09:43:09Z,10.0.0.2,idle
5,2026-02-26T09:43:04Z,2026-02-26T09:43:09Z,10.0.0.3,videocall
6,2026-02-26T09:43:09Z,2026-02-26T09:43:14Z,10.0.0.1,idle
6,2026-02-26T09:43:09Z,2026-02-26T09:43:14Z,10.0.0.2,idle
6,2026-02-26T09:43:09Z,2026-02-26T09:43:14Z,10.0.0.3,videocall
7,2026-02-26T09:43:14Z,2026-02-26T09:43:19Z,10.0.0.1,idle
7,2026-02-26T09:43:14Z,2026-02-26T09:43:19Z,10.0.0.2,idle
7,2026-02-26T09:43:14Z,2026-02-26T09:43:19Z,10.0.0.3,videocall
8,2026-02-26T09:43:19Z,2026-02-26T09:43:24Z,10.0.0.1,idle
8,2026-02-26T09:43:19Z,2026-02-26T09:43:24Z,10.0.0.2,idle
8,2026-02-26T09:43:19Z,2026-02-26T09:43:24Z,10.0.0.3,videocall
9,2026-02-26T09:43:24Z,2026-02-26T09:43:29Z,10.0.0.1,idle
9,2026-02-26T09:43:24Z,2026-02-26T09:43:29Z,10.0.0.2,idle
9,2026-02-26T09:43:24Z,2026-02-26T09:43:29Z,10.0.0.3,videocall
10,2026-02-26T09:43:29Z,2026-02-26T09:43:34Z,10.0.0.1,idle
10,2026-02-26T09:43:29Z,2026-02-26T09:43:34Z,10.0.0.2,idle
