window_index,start_time,end_time,ue_ip,ground_truth_labels
0,2026-02-26T09:42:39Z,2026-02-26T09:42:44Z,10.0.0.1,videocall
0,2026-02-26T09:42:39Z,2026-02-26T09:42:44Z,10.0.0.2,video-streaming
0,2026-02-26T09:42:39Z,2026-02-26T09:42:44Z,10.0.0.3,videocall
1,2026-02-26T09:42:44Z,2026-02-26T09:42:49Z,10.0.0.1,videocall
1,2026-02-26T09:42:44Z,2026-02-26T09:42:49Z,10.0.0.2,idle
1,2026-02-26T09:42:44Z,2026-02-26T09:42:49Z,10.0.0.3,idle
2,2026-02-26T09:42:49Z,2026-02-26T09:42:54Z,10.0.0.1,videocall
2,2026-02-26T09:42:49Z,2026-02-26T09:42:54Z,10.0.0.2,idle
2,2026-02-26T09:42:49Z,2026-02-26T09:42:54Z,10.0.0.3,idle
3,2026-02-26T09:42:54Z,2026-02-26T09:42:59Z,10.0.0.1,videocall
3,2026-02-26T09:42:54Z,2026-02-26T09:42:59Z,10.0.0.2,video-streaming
3,2026-02-26T09:42:54Z,2026-02-26T09:42:59Z,10.0.0.3,idle
4,2026-02-26T09:42:59Z,2026-02-26T09:43:04Z,10.0.0.1,videocall
4,2026-02-26T09:42:59Z,2026-02-26T09:43:04Z,10.0.0.2,idle
4,2026-02-26T09:42:59Z,2026-02-26T09:43:04Z,10.0.0.3,idle
5,2026-02-26T09:43:04Z,2026-02-26T09:43:09Z,10.0.0.1,idle
5,2026-02-26T09:43:04Z,2026-02-26T09:43:09Z,10.0.0.2,video-streaming
5,2026-02-26T09:43:04Z,2026-02-26T09:43:09Z,10.0.0.3,idle
6,2026-02-26T09:43:09Z,2026-02-26T09:43:14Z,10.0.0.1,videocall
6,2026-02-26T09:43:09Z,2026-02-26T09:43:14Z,10.0.0.2,video-streaming
6,2026-02-26T09:43:09Z,2026-02-26T09:43:14Z,10.0.0.3,idle
7,2026-02-26T09:43:14Z,2026-02-26T09:43:19Z,10.0.0.1,videocall
7,2026-02-26T09:43:14Z,2026-02-26T09:43:19Z,10.0.0.2,idle
7,2026-02-26T09:43:14Z,2026-02-26T09:43:19Z,10.0.0.3,idle
8,2026-02-26T09:43:19Z,2026-02-26T09:43:24Z,10.0.0.1,videocall
8,2026-02-26T09:43:19Z,2026-02-26T09:43:24Z,10.0.0.2,video-streaming
8,2026-02-26T09:43:19Z,2026-02-26T09:43:24Z,10.0.0.3,idle
9,2026-02-26T09:43:24Z,2026-02-26T09:43:29Z,10.0.0.1,idle
9,2026-02-26T09:43:24Z,2026-02-26T09:43:29Z,10.0.0.2,idle
9,2026-02-26T09:43:24Z,2026-02-26T09:43:29Z,10.0.0.3,idle
10,2026-02-26T09:43:29Z,2026-02-26T09:43:34Z,10.0.0.1,idle
10,2026-02-26T09:43:29Z,2026-02-26T09:43:34Z,10.0.0.2,idle
10,2026-02-26T09:43:29Z,2026-02-26T09:43:34Z,10.0.0.3,idle
11,2026-02-26T09:43:34Z,2026-02-26T09:43:39Z,10.0.0.1,videocall
11,2026-02-26T09:43:34Z,2026-02-26T09:43:39Z,10.0.0.2,video-streaming
11,2026-02-26T09:43:34Z,2026-02-26T09:43:39Z,10.0.0.3,idle
12,2026-02-26T09:43:39Z,2026-02-26T09:43:44Z,10.0.0.1,videocall
12,2026-02-26T09:43:39Z,2026-02-26T09:43:44Z,10.0.0.2,idle
12,2026-02-26T09:43:39Z,2026-02-26T09:43:44Z,10.0.0.3,idle
13,2026-02-26T09:43:44Z,2026-02-26T09:43:49Z,10.0.0.1,idle
13,2026-02-26T09:43:44Z,2026-02-26T09:43:49Z,10.0.0.2,idle
13,2026-02-26T09:43:44Z,2026-02-26T09:43:49Z,10.0.0.3,idle
14,2026-02-26T09:43:49Z,2026-02-26T09:43:54Z,10.0.0.1,videocall
14,2026-02-26T09:43:49Z,2026-02-26T09:43:54Z,10.0.0.2,idle
14,2026-02-26T09:43:49Z,2026-02-26T09:43:54Z,10.0.0.3,idle
15,2026-02-26T09:43:54Z,2026-02-26T09:43:59Z,10.0.0.1,videocall
15,2026-02-26T09:43:54Z,2026-02-26T09:43:59Z,10.0.0.2,idle
15,2026-02-26T09:43:54Z,2026-02-26T09:43:59Z,10.0.0.3,idle
16,2026-02-26T09:43:59Z,2026-02-26T09:44:04Z,10.0.0.1,videocall
16,2026-02-26T09:43:59Z,2026-02-26T09:44:04Z,10.0.0.2,idle
16,2026-02-26T09:43:59Z,2026-02-26T09:44:04Z,10.0.0.3,idle
17,2026-02-26T09:44:04Z,2026-02-26T09:44:09Z,10.0.0.1,videocall
17,2026-02-26T09:44:04Z,2026-02-26T09:44:09Z,10.0.0.2,video-streaming
17,2026-02-26T09:44:04Z,2026-02-26T09:44:09Z,10.0.0.3,idle
18,2026-02-26T09:44:09Z,2026-02-26T09:44:14Z,10.0.0.1,videocall
18,2026-02-26T09:44:09Z,2026-02-26T09:44:14Z,10.0.0.2,idle
18,2026-02-26T09:44:09Z,2026-02-26T09:44:14Z,10.0.0.3,idle
19,2026-02-26T09:44:14Z,2026-02-26T09:44:19Z,10.0.0.1,directions|gaming-online|videocall
19,2026-02-26T09:44:14Z,2026-02-26T09:44:19Z,10.0.0.2,idle
19,2026-02-26T09:44:14Z,2026-02-26T09:44:19Z,10.0.0.3,idle
20,2026-02-26T09:44:19Z,2026-02-26T09:44:24Z,10.0.0.1,directions|gaming-online
20,2026-02-26T09:44:19Z,2026-02-26T09:44:24Z,10.0.0.2,idle
20,2026-02-26T09:44:19Z,2026-02-26T09:44:24Z,10.0.0.3,idle
21,2026-02-26T09:44:24Z,2026-02-26T09:44:29Z,10.0.0.1,directions|gaming-online
21,2026-02-26T09:44:24Z,2026-02-26T09:44:29Z,10.0.0.2,idle
21,2026-02-26T09:44:24Z,2026-02-26T09:44:29Z,10.0.0.3,idle
22,2026-02-26T09:44:29Z,2026-02-26T09:44:34Z,10.0.0.1,directions|gaming-online
22,2026-02-26T09:44:29Z,2026-02-26T09:44:34Z,10.0.0.2,video-streaming
22,2026-02-26T09:44:29Z,2026-02-26T09:44:34Z,10.0.0.3,idle
23,2026-02-26T09:44:34Z,2026-02-26T09:44:39Z,10.0.0.1,directions|gaming-online
23,2026-02-26T09:44:34Z,2026-02-26T09:44:39Z,10.0.0.2,search|video-streaming
23,2026-02-26T09:44:34Z,2026-02-26T09:44:39Z,10.0.0.3,idle
24,2026-02-26T09:44:39Z,2026-02-26T09:44:44Z,10.0.0.1,gaming-online
24,2026-02-26T09:44:39Z,2026-02-26T09:44:44Z,10.0.0.2,search
24,2026-02-26T09:44:39Z,2026-02-26T09:44:44Z,10.0.0.3,idle
25,2026-02-26T09:44:44Z,2026-02-26T09:44:49Z,10.0.0.1,directions|gaming-online
25,2026-02-26T09:44:44Z,2026-02-26T09:44:49Z,10.0.0.2,search
25,2026-02-26T09:44:44Z,2026-02-26T09:44:49Z,10.0.0.3,idle
26,2026-02-26T09:44:49Z,2026-02-26T09:44:54Z,10.0.0.1,directions|gaming-online
26,2026-02-26T09:44:49Z,2026-02-26T09:44:54Z,10.0.0.2,search
26,2026-02-26T09:44:49Z,2026-02-26T09:44:54Z,10.0.0.3,idle
27,2026-02-26T09:44:54Z,2026-02-26T09:44:59Z,10.0.0.1,directions|gaming-online
27,2026-02-26T09:44:54Z,2026-02-26T09:44:59Z,10.0.0.2,search
27,2026-02-26T09:44:54Z,2026-02-26T09:44:59Z,10.0.0.3,idle
28,2026-02-26T09:44:59Z,2026-02-26T09:45:04Z,10.0.0.1,directions|gaming-online
28,2026-02-26T09:44:59Z,2026-02-26T09:45:04Z,10.0.0.2,search
28,2026-02-26T09:44:59Z,2026-02-26T09:45:04Z,10.0.0.3,idle
29,2026-02-26T09:45:04Z,2026-02-26T09:45:09Z,10.0.0.1,directions|gaming-online
29,2026-02-26T09:45:04Z,2026-02-26T09:45:09Z,10.0.0.2,search
29,2026-02-26T09:45:04Z,2026-02-26T09:45:09Z,10.0.0.3,idle
30,2026-02-26T09:45:09Z,2026-02-26T09:45:14Z,10.0.0.1,directions|gaming-online
30,2026-02-26T09:45:09Z,2026-02-26T09:45:14Z,10.0.0.2,search
30,2026-02-26T09:45:09Z,2026-02-26T09:45:14Z,10.0.0.3,idle
31,2026-02-26T09:45:14Z,2026-02-26T09:45:19Z,10.0.0.1,directions|gaming-online
31,2026-02-26T09:45:14Z,2026-02-26T09:45:19Z,10.0.0.2,search
31,2026-02-26T09:45:14Z,2026-02-26T09:45:19Z,10.0.0.3,idle
32,2026-02-26T09:45:19Z,2026-02-26T09:45:24Z,10.0.0.1,directions|gaming-online
32,2026-02-26T09:45:19Z,2026-02-26T09:45:24Z,10.0.0.2,search
32,2026-02-26T09:45:19Z,2026-02-26T09:45:24Z,10.0.0.3,idle
33,2026-02-26T09:45:24Z,2026-02-26T09:45:29Z,10.0.0.1,directions|gaming-online
33,2026-02-26T09:45:24Z,2026-02-26T09:45:29Z,10.0.0.2,search
33,2026-02-26T09:45:24Z,2026-02-26T09:45:29Z,10.0.0.3,idle
34,2026-02-26T09:45:29Z,2026-02-26T09:45:34Z,10.0.0.1,directions|gaming-online
34,2026-02-26T09:45:29Z,2026-02-26T09:45:34Z,10.0.0.2,search
34,2026-02-26T09:45:29Z,2026-02-26T09:45:34Z,10.0.0.3,idle
35,2026-02-26T09:45:34Z,2026-02-26T09:45:39Z,10.0.0.1,directions|gaming-online
35,2026-02-26T09:45:34Z,2026-02-26T09:45:39Z,10.0.0.2,search|video-streaming
35,2026-02-26T09:45:34Z,2026-02-26T09:45:39Z,10.0.0.3,idle
36,2026-02-26T09:45:39Z,2026-02-26T09:45:44Z,10.0.0.1,directions|gaming-online
36,2026-02-26T09:45:39Z,2026-02-26T09:45:44Z,10.0.0.2,search
36,2026-02-26T09:45:39Z,2026-02-26T09:45:44Z,10.0.0.3,open-email|videocall
37,2026-02-26T09:45:44Z,2026-02-26T09:45:49Z,10.0.0.1,directions|gaming-online
37,2026-02-26T09:45:44Z,2026-02-26T09:45:49Z,10.0.0.2,search
37,2026-02-26T09:45:44Z,2026-02-26T09:45:49Z,10.0.0.3,open-email|videocall
38,2026-02-26T09:45:49Z,2026-02-26T09:45:54Z,10.0.0.1,directions|gaming-online
38,2026-02-26T09:45:49Z,2026-02-26T09:45:54Z,10.0.0.2,search
38,2026-02-26T09:45:49Z,2026-02-26T09:45:54Z,10.0.0.3,open-email|videocall
39,2026-02-26T09:45:54Z,2026-02-26T09:45:59Z,10.0.0.1,directions|gaming-online
39,2026-02-26T09:45:54Z,2026-02-26T09:45:59Z,10.0.0.2,search
39,2026-02-26T09:45:54Z,2026-02-26T09:45:59Z,10.0.0.3,open-email
40,2026-02-26T09:45:59Z,2026-02-26T09:46:04Z,10.0.0.1,gaming-online
40,2026-02-26T09:45:59Z,2026-02-26T09:46:04Z,10.0.0.2,search
40,2026-02-26T09:45:59Z,2026-02-26T09:46:04Z,10.0.0.3,open-email
41,2026-02-26T09:46:04Z,2026-02-26T09:46:09Z,10.0.0.1,directions|gaming-online
41,2026-02-26T09:46:04Z,2026-02-26T09:46:09Z,10.0.0.2,search
